,text,sentiment
0,kriptoemre gelsinler gelsinler k dan btc lerimizi kime vereceğiz 😎,1
1,hm anladım ben binancedan bakıyorum direk rsi a in aşağısında buna göre aşırı alım bölgesinde değil fib seviesine göre nin üsteünde kaldığı sürece e kadar yolu var geliyor bana yanlış mıyım,1
2,btc düşmezse artık binlerin altına zor düşer,1
3,i̇şte onlara göre btc balon onlarınki yerli mili şirket oluyor yazık gerçekten allah yardım etsin,1
4,top btc sahipleri kimler soros ’ un zamana kadar bitcoin almadığına inanmak şaşırtıcı bana kalırsa bitcoinin gideceği yer belli bunu cogu kisi biliyor bilmiyoruz sadece,1
5,bitcoin kartalım yükselişe geçti lütfen kemerlerinizi bağlayınız,1
6,bnb almak mutluluk satın almaktır  btc binance,1
7,yakın bir zamanda küresel çapta finansal siyasal krizler oluşabilir baş rolde kapitalizmin zayıf halkasi olan türkiye uluslararasi makro ekonomik sorunlarına sebep olacak  olan fed güvenebileceğiniz para birimi,1
8,bakın arkadaşlar kıskançlık haterlıktan karalama gafletinde bulunuyorlar,1
9,an türkiyede herhangi bir denetim regulasyon yok yüzden bitcoinlerinizi borsalarda tutmayın ledger nanoda tutun,1
10,btc ye oyumu satarım,1
11,hocam ay cok olmamıs bişey alma btc bekle x yine gelir,1
12,george soros bitcoin e yatırım yapabilir,1
13,yazık piyasanın ağası btc yapacak bişey yok,1
14,poa birileri  btc çarçur etti aşağıdan satıp tepeden market buy yaptılar birinin hesabını hacklediler neyse güzel kar ettik akşam akşam eyvallah poa reyiz,1
15,cnbc ’ den brian kelly e göre bitcoin fiyatları nisanda artacak i̇şte nedenleri,1
16,nisanda k inşallah hazirana kadar k son grafik biraz dayak yedi yine btc dönüp fiyata girecek inşallah,1
17,benim aklımda sorosun yapabileceği kadar büyük bi pump haberi var bilmiyorum belkide paranoya olabilir amazon çıkıp btc ödeme alt yapısını hazırlıyoruz dese an piyasa olur sizce,1
18,bitcoin cash mayıs öncesi baya yükselecek şimdiden söylüyorum şimdilik erken güzel fırsatlar nisandan sonra bitcoin cash e geçmekte fayda var kesin kar edersiniz şimdiden söyleyeyim paylaşır öz paylaşırım hayatta zarar etmezsiniz,1
19,george soros kripto paralara yatırım kararı almış adam kâr etmeyeceği piyasalara girmez kârdan kastım öyle böyle kazanç değil girerse yeni rekorlar göreceğiz demektir  btc boostcoin,1
20,bitcoin yükselişe geçti http finansmynetcomhaberdetayfinansbitcoinyukselisegecti … mynetfinans aracılığıyla,1
21,selcoin var ona bulaşmıyorsun kucoin borsasını refaransıyla shilleyi herkese flix aldırmıştı doğrucu davut olarak üzerine gider misin ha bak tikidiki söylemedim den btc sattırıp e gidişini izleyen,1
22,bitcoin ’ in fiyatı yüzde artarak doların üzerine çıktı   …,1
23,dgb btc uzun vadeli trend akımı  dgbbtc grafiğihttp trtradingviewcomchartdgbbtcmcjuwwn …,1
24,bir bitcoin e laf eden bir spoiler veren yanıyor,1
25,soros bitcoin cash ltc yi pumlayacak ön görü  btc ltc bch,1
26,cok duvar vardi hocam valla piyasa hacimsizlikten geberiyo zaten gitse iyiydi neyse sattim dustugu yerde alirim gene bundan temiz kar almadan birakmicam,1
27,ocak subat de btc bir türlü  ı geçemiyordu çoğu kişi lerde satıyordu onu hatırlattın,1
28,merkezsiz olan hersey artar btc sadece bir örnek,1
29,hindistandaki yasaklara rağmen bitcoin ethereum  artışta http,1
30,güney kore kripto paralara destek vermeyi sürdürüyor,1
31,bir zamanlar sats lardan burun kıvırdığımız xvg,1
32,bilgisayarınıza indireceğiniz program sayesinde para üretiyorsunuz muazzam bir teknoloji karşı karşıyayız var olan sistemleri yeniden yazılacağı bir döneme giriş yaptıkhalk isterse bitcoin onu yapar,1
33,btc yükselişe başladığına göre geri ler yakındır yetsin artık beee çıkmasını geçtim düz gitsin yeter dip dip dip kadar ay oldu la bak bahar geldi,1
34,btc market dominansı düz seyre girdi altlarda yukarı hareket baslayabilir azından düşüş trendi bitmiş diyebiliriz  twittercomcryptoyodastatus …,1
35,btc büyük resimde yarasa ’ mız var hedeflerimiz sırasıyla   seviyeleri formasyonun stopu  seviyesi,1
36,goruntu olarak benzeyebilir ancak ons yükselişin yarısını verdi btc fibo i bile geçti,1
37,soros gibilerin başlarda balon kötüleyerek şimdi yatırım hazırlığında olmaları bana göre dönüş sinyalleri geliyor btc bitcoin altcoin,1
38,nisan ayında borçlarım vardı bin kadar tl param vardı alacaklılarıma ödeyemeyeceğimi söyledim beklemeleri gerektiğini söyledim bastım parayı btc ye borçları ödedim sağol satoshi  elde bir kalmadı borcumda yok resmen özgürüm,1
39,amerikadaki vergilendirmenin bitmesi btc mutlaka bir yukarı yönlü sıçrama olacaktır peki sıçramalar fake mi olacak sizce düşüş kanalı devam edecek mi hâlâ,1
40,cnbc ’ den brian kelly e göre bitcoin fiyatları nisanda artacak i̇şte nedenleri  kriptokoininbitcoinfiyatininduzelecegineisaretedenmadde …,1
